延平,后燕时慕容麟年号,397
延嗣宁国,西夏毅宗年号,1049
延熙,蜀汉后主年号,238—257
延熙,后赵石弘年号,334
延兴,北魏孝文帝年号,471—476
延兴,南齐海陵王萧昭文年号,494
延载,周武则天年号,694
炎兴,蜀汉后主年号,263
承光,夏赫连昌年号,425—428
承光,北齐幼主年号,577
承和,北凉沮渠牧犍年号,437
承明,北魏孝文帝年号,476
应道,南诏寻阁劝年号,809
应乾,南汉刘晟年号,943
应顺,后唐闵帝年号,934
永凤,汉（前赵）刘渊年号,308
永光,汉元帝年号,前43—前39
永光,南朝宋前废帝年号,465
永汉,汉献帝年号,189
永汉,南朝梁时刘敬躬年号,542
永和,汉顺帝年号,136—141
永和,晋穆帝年号,345—356
永和,后秦姚泓年号,416—417
永和,北凉沮渠牧犍年号,433—436
永和,闽王延钧年号,935
永和,清时朱一贵年号,1721
永憙,汉冲帝年号,145
永嘉,汉冲帝年号,145
永兴,汉桓帝年号,153—154
永兴,晋惠帝年号,304—306
永兴,冉魏冉闵年号,350—352
永兴,前秦苻坚年号,357—359
永兴,北魏明元帝年号,409—413
永兴,北魏孝武帝年号,532
永贞,唐顺宗年号,805
永贞,大理段正兴年号,1148
赤符,元时朱光卿年号,1337
载初,唐武则天年号,689—690
载初,唐时安庆绪年号,757
昭宁,汉少帝年号,189
昭武,清时吴三桂年号,1678
证圣,周武则天年号,695
至宁,金卫绍王完颜永济年号,1213
致和,元泰定帝年号,1328
初始,汉孺子刘婴年号,8
中元克复,唐谯王李重福年号,710
中宗克复,唐谯王李重福年号,710
转运,宋时吴曦年号,1207
